@context,@type,name,url,image,description,sku,brand-type,brand-name,offers-type,offers-sku,offers-availability,offers-price,offers-priceCurrency,offers-url
http://schema.org/,Product,RAW CLASSIC PAPERS 1 1/4 -24CT BOX,https://awswholesale.com/products/raw-classic-papers-1-1-4-24ct-box-100009,https://awswholesale.com/cdn/shop/products/100009_1000x.jpg?v=1653678457,,100009,"dict_values(['Thing', 'Raw'])","dict_values(['Offer', '100009', 'http://schema.org/InStock', 16.0, 'USD', 'https://awswholesale.com/products/raw-classic-papers-1-1-4-24ct-box-100009?variant=42346127753438'])"
http://schema.org/,Product,HERBAL CLEAN Q-CARBO16 MEGA STRENGHTH DETOX,https://awswholesale.com/products/herbal-clean-q-carbo16-mega-strenghth-detox-102426,None,16OZ MEGA STRENGTH CLEANSING FORMULA,102426|GRAPE,"dict_values(['Thing', 'Qcarbo'])","dict_values(['Offer', '102426|GRAPE', 'http://schema.org/InStock', 7.5, 'USD', 'https://awswholesale.com/products/herbal-clean-q-carbo16-mega-strenghth-detox-102426?variant=42355867451614'])"
http://schema.org/,Product,MONKEY FLASK 3.5OZ NOVELTY SYNTHETIC URINE,https://awswholesale.com/products/monkey-flask-3-5oz-novelty-synthetic-urine-100272,https://awswholesale.com/cdn/shop/products/100272_jpg_1000x.jpg?v=1642193422,,100272,"dict_values(['Thing', 'Monkey Flask'])","dict_values(['Offer', '100272', 'http://schema.org/InStock', 10.0, 'USD', 'https://awswholesale.com/products/monkey-flask-3-5oz-novelty-synthetic-urine-100272?variant=42345735356638'])"
http://schema.org/,Product,FUTUROLA TYSON RANCH BLUNT WRAPS 25CT,https://awswholesale.com/products/futurola-tyson-ranch-blunt-wraps-25ct-103080,https://awswholesale.com/cdn/shop/products/103080_jpg_1000x.jpg?v=1642439436,,103080,"dict_values(['Thing', 'Futurola'])","dict_values(['Offer', '103080', 'http://schema.org/InStock', 48.99, 'USD', 'https://awswholesale.com/products/futurola-tyson-ranch-blunt-wraps-25ct-103080?variant=42346050388190'])"
http://schema.org/,Product,SAFEGUARD U PASS 3OZ SYNTHETIC URINE - 6CT,https://awswholesale.com/products/safeguard-u-pass-3oz-synthetic-urine-6ct-100279,https://awswholesale.com/cdn/shop/products/100279_jpg_1000x.jpg?v=1642438961,,100279,"dict_values(['Thing', 'Safeguard'])","dict_values(['Offer', '100279', 'http://schema.org/InStock', 26.0, 'USD', 'https://awswholesale.com/products/safeguard-u-pass-3oz-synthetic-urine-6ct-100279?variant=42345997926622'])"
http://schema.org/,Product,HEMPOOKAH HEMP SHISHA - 100 GRAM PACK,https://awswholesale.com/products/hempookah-hemp-shisha-100-gram-pack-104972,https://awswholesale.com/cdn/shop/products/104972_5Ehoneydwmlnmnt_1000x.jpg?v=1642225016,,104972|ICY BERRY BLISS,"dict_values(['Thing', 'Hempookah'])","dict_values(['Offer', '104972|ICY BERRY BLISS', 'http://schema.org/InStock', 6.0, 'USD', 'https://awswholesale.com/products/hempookah-hemp-shisha-100-gram-pack-104972?variant=42345079439582'])"
http://schema.org/,Product,14MM TERP SLURPER BANGER SET W/ 3PC TERP PEARL,https://awswholesale.com/products/14mm-terp-slurper-banger-set-w-3pc-terp-pearl-104067,https://awswholesale.com/cdn/shop/products/104067_1000x.jpg?v=1662139225,,104067,"dict_values(['Thing', 'Austin Wholesale Supply'])","dict_values(['Offer', '104067', 'http://schema.org/InStock', 6.0, 'USD', 'https://awswholesale.com/products/14mm-terp-slurper-banger-set-w-3pc-terp-pearl-104067?variant=43352811438302'])"
http://schema.org/,Product,RAW CLASSIC 20PK KING SIZE CONES -12CT DISPLAY BOX,https://awswholesale.com/products/raw-classic-20pk-king-size-cones-12ct-display-box-106964,https://awswholesale.com/cdn/shop/products/106964_1000x.jpg?v=1654722589,CONTAINS 12 PACKS PER BOX / 20 CONES PER PACK,106964,"dict_values(['Thing', 'Raw'])","dict_values(['Offer', '106964', 'http://schema.org/InStock', 38.25, 'USD', 'https://awswholesale.com/products/raw-classic-20pk-king-size-cones-12ct-display-box-106964?variant=42900313866462'])"
http://schema.org/,Product,RAW CLASSIC KING SIZE CONES - 32CT BOX,https://awswholesale.com/products/raw-classic-king-size-cones-32ct-box-100055,https://awswholesale.com/cdn/shop/products/100055_1000x.jpg?v=1649081653,RAW’s precision-crafted pre-rolled cones are made from the same truly naturally unbleached paper as RAW Classic Papers and are ready to be easily filled.,100055,"dict_values(['Thing', 'Raw'])","dict_values(['Offer', '100055', 'http://schema.org/InStock', 34.0, 'USD', 'https://awswholesale.com/products/raw-classic-king-size-cones-32ct-box-100055?variant=42344736686302'])"
http://schema.org/,Product,ROYAL BLUNTS - BLUNTS & ROSES - 25CT BOX,https://awswholesale.com/products/royal-blunts-blunts-roses-25ct-box-105934,https://awswholesale.com/cdn/shop/products/105934_1000x.jpg?v=1645488192,"CONTAINS 25 PACKS PER BOX / 2 ROSE PETAL WRAPS PER PACK
Made from real rose petals, these beautiful pink wraps smell amazing and burn great making them a unique alternative for Hemp or Tobacco for the perfect roll.
Rose petal infused wraps

Made from real rose petals 
Designed for a sweet slow burn
2 Wraps per Pouch 
",105934,"dict_values(['Thing', 'Royal Blunts'])","dict_values(['Offer', '105934', 'http://schema.org/InStock', 14.0, 'USD', 'https://awswholesale.com/products/royal-blunts-blunts-roses-25ct-box-105934?variant=42478264877278'])"
http://schema.org/,Product,KING PALM FLAVOR TIPS 50CT BOX,https://awswholesale.com/products/king-palm-flavor-tips-50ct-box-103461,https://awswholesale.com/cdn/shop/products/103461_5EBERRYTERPS_1000x.jpg?v=1642439482,CONTAINS 50 PACKS PER BOX / 2 FLAVOR TIPS PER PACK,103461|BANANA CREAM,"dict_values(['Thing', 'King Palm'])","dict_values(['Offer', '103461|BANANA CREAM', 'http://schema.org/InStock', 12.5, 'USD', 'https://awswholesale.com/products/king-palm-flavor-tips-50ct-box-103461?variant=42344874246366'])"
http://schema.org/,Product,RESCUE DETOX INSTANT CLEANSING ENERGY 32FL OZ,https://awswholesale.com/products/rescue-detox-instant-cleansing-energy-32fl-oz-110472,https://awswholesale.com/cdn/shop/files/110472_1000x.jpg?v=1685975420,,110472|BLUEBERRY ICE,"dict_values(['Thing', 'Rescue Detox'])","dict_values(['Offer', '110472|BLUEBERRY ICE', 'http://schema.org/InStock', 10.0, 'USD', 'https://awswholesale.com/products/rescue-detox-instant-cleansing-energy-32fl-oz-110472?variant=44211450609886'])"
http://schema.org/,Product,GRAV 16MM OCTO-TASTER W/ SILICONE SKIN,https://awswholesale.com/products/grav-16mm-octo-taster-w-silicone-skin-107771,https://awswholesale.com/cdn/shop/products/107771_5EAVOCADOGREEN_1000x.jpg?v=1669757504,,107771|AVOCADO GREEN,"dict_values(['Thing', 'Grav'])","dict_values(['Offer', '107771|AVOCADO GREEN', 'http://schema.org/InStock', 6.0, 'USD', 'https://awswholesale.com/products/grav-16mm-octo-taster-w-silicone-skin-107771?variant=43705027985630'])"
http://schema.org/,Product,GRAV PEBBLE SPOON PIPE,https://awswholesale.com/products/grav-pebble-spoon-pipe-107782,https://awswholesale.com/cdn/shop/products/107782_5EBLACK_1000x.jpg?v=1669757653,,107782|BLUE,"dict_values(['Thing', 'Grav'])","dict_values(['Offer', '107782|BLUE', 'http://schema.org/InStock', 9.0, 'USD', 'https://awswholesale.com/products/grav-pebble-spoon-pipe-107782?variant=43705029722334'])"
http://schema.org/,Product,STINGER 1HR BODY CLEANSER - 8OZ,https://awswholesale.com/products/stinger-1hr-body-cleanser-8oz-100264,https://awswholesale.com/cdn/shop/products/100264_5Eblueraspberry_1000x.jpg?v=1642181864,,100264|BLUERASPBERRY,"dict_values(['Thing', 'Stinger'])","dict_values(['Offer', '100264|BLUERASPBERRY', 'http://schema.org/InStock', 4.75, 'USD', 'https://awswholesale.com/products/stinger-1hr-body-cleanser-8oz-100264?variant=42344805925086'])"
http://schema.org/,Product,"BLAZY SUSAN  PURPLE 1 1/4"" CONES - 21CT BOX",https://awswholesale.com/products/blazy-susan-purple-1-1-4-cones-21ct-box-108528,https://awswholesale.com/cdn/shop/products/108528_1000x.jpg?v=1669757937,,108528,"dict_values(['Thing', 'Blazy Susan'])","dict_values(['Offer', '108528', 'http://schema.org/InStock', 30.0, 'USD', 'https://awswholesale.com/products/blazy-susan-purple-1-1-4-cones-21ct-box-108528?variant=43704965628126'])"
http://schema.org/,Product,"GRAV 4"" GLASS BLUNT W/ SILICONE",https://awswholesale.com/products/grav-4-glass-blunt-w-silicone-108103,https://awswholesale.com/cdn/shop/products/108103_5EBLACK_1000x.jpg?v=1669757960,,108103|AVOVADO GREEN,"dict_values(['Thing', 'Grav'])","dict_values(['Offer', '108103|AVOVADO GREEN', 'http://schema.org/InStock', 5.0, 'USD', 'https://awswholesale.com/products/grav-4-glass-blunt-w-silicone-108103?variant=43705032048862'])"
http://schema.org/,Product,SKUNK BRAND GENUINE HEMP WRAPS TERPS 25CT BOX,https://awswholesale.com/products/skunk-brand-genuine-hemp-wraps-terps-25ct-box-104330,https://awswholesale.com/cdn/shop/products/104330_jpg_1000x.jpg?v=1642439957,CONTAINS 25 PACKS / 2 WRAPS PER PACK,104330|CHERRY PIE,"dict_values(['Thing', 'Skunk Brand'])","dict_values(['Offer', '104330|CHERRY PIE', 'http://schema.org/InStock', 16.0, 'USD', 'https://awswholesale.com/products/skunk-brand-genuine-hemp-wraps-terps-25ct-box-104330?variant=42346145972446'])"
http://schema.org/,Product,FUTUROLA TYSON RANCH BLUNT CONES 12CT BOX,https://awswholesale.com/products/futurola-tyson-ranch-blunt-cones-12ct-box-103078,https://awswholesale.com/cdn/shop/products/103078_jpg_1000x.jpg?v=1642181300,,103078,"dict_values(['Thing', 'Futurola'])","dict_values(['Offer', '103078', 'http://schema.org/InStock', 33.99, 'USD', 'https://awswholesale.com/products/futurola-tyson-ranch-blunt-cones-12ct-box-103078?variant=42344847835358'])"
http://schema.org/,Product,RAW CLASSIC BLACK 1 1/4 PAPERS - 24CT BOX,https://awswholesale.com/products/raw-classic-black-1-1-4-papers-24ct-box-100011,https://awswholesale.com/cdn/shop/products/100011_jpg_1000x.jpg?v=1642438307,CONTAINS 24 PACKS PER BOX / 50 LEAVES PER PACK,100011,"dict_values(['Thing', 'Raw'])","dict_values(['Offer', '100011', 'http://schema.org/InStock', 18.0, 'USD', 'https://awswholesale.com/products/raw-classic-black-1-1-4-papers-24ct-box-100011?variant=42349018874078'])"
http://schema.org/,Product,ZIG-ZAG ROLLING PAPERS 1 1/4 ORANGE - 24CT BOX,https://awswholesale.com/products/zig-zag-rolling-papers-1-1-4-orange-24ct-box-100093,https://awswholesale.com/cdn/shop/products/100093_1000x.jpg?v=1642438528,CONTAINS 24 BOOKLETS,100093,"dict_values(['Thing', 'Zig-Zag'])","dict_values(['Offer', '100093', 'http://schema.org/InStock', 37.25, 'USD', 'https://awswholesale.com/products/zig-zag-rolling-papers-1-1-4-orange-24ct-box-100093?variant=42349021593822'])"
http://schema.org/,Product,OOZE USB SMART CHARGER,https://awswholesale.com/products/ooze-usb-smart-charger-102286,https://awswholesale.com/cdn/shop/products/102286_jpg_1000x.jpg?v=1642182147,,102286,"dict_values(['Thing', 'Ooze'])","dict_values(['Offer', '102286', 'http://schema.org/InStock', 32.0, 'USD', 'https://awswholesale.com/products/ooze-usb-smart-charger-102286?variant=42344911175902'])"
http://schema.org/,Product,TWISTED TIPS 24CT BOX,https://awswholesale.com/products/twisted-tips-24ct-box-103606,https://awswholesale.com/cdn/shop/products/103606_5Eberryblue_1000x.jpg?v=1642181692,,103606|BERRY BLUE,"dict_values(['Thing', 'Twisted'])","dict_values(['Offer', '103606|BERRY BLUE', 'http://schema.org/InStock', 11.25, 'USD', 'https://awswholesale.com/products/twisted-tips-24ct-box-103606?variant=42344875688158'])"
http://schema.org/,Product,LOOKAH SARDINE - HOT KNIFE,https://awswholesale.com/products/lookah-sardine-hot-knife-107747,https://awswholesale.com/cdn/shop/products/107747_5Eblack_1000x.jpg?v=1665460725,,107747|ORANGE,"dict_values(['Thing', 'Lookah'])","dict_values(['Offer', '107747|ORANGE', 'http://schema.org/InStock', 30.0, 'USD', 'https://awswholesale.com/products/lookah-sardine-hot-knife-107747?variant=43726156333278'])"
http://schema.org/,Product,GRAV 12MM TASTER W/ SILICONE SKIN,https://awswholesale.com/products/grav-12mm-taster-w-silicone-skin-107770,https://awswholesale.com/cdn/shop/products/107770_5EAVOCADOGREEN_1000x.jpg?v=1671749568,,107770|AVOCADO GREEN,"dict_values(['Thing', 'Grav'])","dict_values(['Offer', '107770|AVOCADO GREEN', 'http://schema.org/InStock', 5.0, 'USD', 'https://awswholesale.com/products/grav-12mm-taster-w-silicone-skin-107770?variant=43705027821790'])"
